"","feature","pcr_imp","comp_imp","pcr_rank","comp_rank"
"84","gestation_length_d",0.00827227722772277,0.00912376237623762,13,13
"85","glaciation",0.00205643564356436,0.00559207920792079,39,29
"86","habitat_breadth_n",0.00620891089108911,0.0109910891089109,17,12
"87","hibernation_torpor",8.91089108910891e-05,0.000268316831683168,57,57
"88","interbirth_interval_d",0.0115435643564356,0.00683366336633663,9,21
"89","island_dwelling",0.00197920792079208,0.00326534653465347,40,44
"90","island_end_isolated",0.000321782178217822,0.0047009900990099,53,34
"91","island_end_lgbridge",0.000128712871287129,0.000432673267326733,55,53
"92","island_end_mainland",0.00737425742574257,0.00237623762376238,15,47
"93","island_end_marine",3.96039603960396e-06,0,69,105
"94","litter_size_n",0.0200742574257426,0.0127564356435644,6,10
"95","litters_per_year_n",0.0093970297029703,0.00646732673267327,11,23
"96","marine",8.91089108910891e-05,0.000105940594059406,58,60
"97","max_longevity_d",0.00804653465346535,0.00787722772277228,14,17
"98","studied",0.608146534653465,0.434441584158416,1,1
"99","terrestrial_non.volant",8.91089108910891e-06,3.96039603960396e-05,65,64
"100","trophic_carnivores",0.000878217821782178,0.00174554455445545,47,49
"101","trophic_herbivores",0.00295742574257426,0.00708316831683168,35,20
"102","trophic_omnivores",0.0045960396039604,0.00645247524752475,24,24
"103","upper_elevation_m",0.0224386138613861,0.0404267326732673,5,4
"104","weaning_age_d",0.00696336633663366,0.00772475247524753,16,18
"105","X.1",0.0192039603960396,0.0358445544554455,7,6
