,treename,pred_pcr,pred_comp,PCR,competence,type,studies,ord,cat
84,Berylmys,0.262611887,0.264952589,0,0,other,0,RODENTIA,unsampled
85,Bibimys,0.20801458,0.174506189,0,0,other,0,RODENTIA,unsampled
86,Bison,0.418237865,0.315274598,0,0,other,0,CETARTIODACTYLA,unsampled
87,Biswamoyopterus,0.338847864,0.261216708,0,0,other,0,RODENTIA,unsampled
88,Blanfordimys,0.132200152,0.111040462,0,0,other,0,RODENTIA,unsampled
89,Blarina,0.17108953,0.122534423,0,0,other,0,EULIPOTYPHLA,unsampled
90,Blarinella,0.280252926,0.175246103,0,0,other,0,EULIPOTYPHLA,unsampled
91,Blarinomys,0.129184609,0.0815189,0,0,other,0,RODENTIA,unsampled
92,Blastocerus,0.219209878,0.132274276,0,0,other,0,CETARTIODACTYLA,unsampled
93,Boromys,0.118730727,0.076098017,0,0,other,0,RODENTIA,unsampled
94,Bos,0.527340691,0.517519456,1,1,other,82,CETARTIODACTYLA,positive
95,Boselaphus,0.152872238,0.074167462,0,0,other,0,CETARTIODACTYLA,unsampled
96,Brachiones,0.171342071,0.175110349,0,0,other,0,RODENTIA,unsampled
97,Brachylagus,0.172321892,0.161726334,0,0,other,0,LAGOMORPHA,unsampled
98,Brachytarsomys,0.186492482,0.122865198,0,0,other,0,RODENTIA,unsampled
99,Brachyteles,0.260016968,0.117406521,0,0,other,0,PRIMATES,unsampled
100,Brachyuromys,0.1685014,0.10084423,0,0,other,0,RODENTIA,unsampled
101,Bradypus,0.244257117,0.142412322,0,0,other,0,PILOSA,unsampled
102,Brotomys,0.149414525,0.075469164,0,0,other,0,RODENTIA,unsampled
103,Brucepattersonius,0.266070573,0.181095644,0,0,other,0,RODENTIA,unsampled
104,Bubalus,0.471361646,0.335840091,1,1,other,45,CETARTIODACTYLA,positive
105,Budorcas,0.287321686,0.153085967,0,0,other,0,CETARTIODACTYLA,unsampled
106,Bullimus,0.201694908,0.169060798,0,0,other,0,RODENTIA,unsampled
107,Bunolagus,0.102421651,0.070067157,0,0,other,0,LAGOMORPHA,unsampled
108,Bunomys,0.280025057,0.173292494,0,0,other,0,RODENTIA,unsampled
109,Cacajao,0.261986449,0.096874053,0,0,other,0,PRIMATES,unsampled
110,Calassomys,0.20013473,0.216318908,0,0,other,0,RODENTIA,unsampled
111,Callibella,0.186276523,0.156121768,0,0,other,0,PRIMATES,unsampled
112,Callicebus,0.166125073,0.130351352,0,0,other,0,PRIMATES,unsampled
113,Callimico,0.194837173,0.111735337,0,0,other,0,PRIMATES,unsampled
114,Callistomys,0.108714905,0.078900005,0,0,other,0,RODENTIA,unsampled
115,Callithrix,0.408263836,0.371636418,1,1,other,13,PRIMATES,positive
116,Callorhinus,0.147087827,0.034088853,0,0,other,0,CARNIVORA,unsampled
117,Callosciurus,0.32800769,0.283311264,0,0,other,0,RODENTIA,unsampled
118,Callospermophilus,0.343229099,0.238863759,0,0,other,0,RODENTIA,unsampled
119,Calomys,0.333469052,0.169760814,0,0,other,0,RODENTIA,unsampled
120,Calomyscus,0.318458076,0.242630968,0,0,other,0,RODENTIA,unsampled
121,Caluromys,0.244432202,0.239622412,0,0,other,0,DIDELPHIMORPHIA,unsampled
122,Caluromysiops,0.193213981,0.255190069,0,0,other,0,DIDELPHIMORPHIA,unsampled
123,Camelus,0.465013351,0.519326514,1,1,other,122,CETARTIODACTYLA,positive
124,Canis,0.503590389,0.2253484,1,0,other,5,CARNIVORA,positive
125,Cannomys,0.142231054,0.111385335,0,0,other,0,RODENTIA,unsampled
126,Cansumys,0.200626186,0.172215913,0,0,other,0,RODENTIA,unsampled
127,Caperea,0.343043422,0.318955396,0,0,other,0,CETARTIODACTYLA,unsampled
128,Capra,0.361156484,0.078211538,1,0,other,2,CETARTIODACTYLA,positive
129,Capreolus,0.209621253,0.089893587,0,0,other,0,CETARTIODACTYLA,unsampled
130,Capricornis,0.268160384,0.106514729,0,0,other,0,CETARTIODACTYLA,unsampled
131,Caprolagus,0.188296788,0.151626702,0,0,other,0,LAGOMORPHA,unsampled
132,Capromys,0.217397049,0.117999546,0,0,other,0,RODENTIA,unsampled
133,Caracal,0.371564131,0.372624904,0,0,other,0,CARNIVORA,unsampled
134,Cardiocranius,0.221665627,0.1819949,0,0,other,0,RODENTIA,unsampled
135,Carpomys,0.188154229,0.125996506,0,0,other,0,RODENTIA,unsampled
136,Carterodon,0.159704591,0.139324808,0,0,other,0,RODENTIA,unsampled
137,Caryomys,0.284004004,0.177765254,0,0,other,0,RODENTIA,unsampled
138,Castor,0.296839037,0.222147234,1,1,other,3,RODENTIA,positive
139,Catagonus,0.144754591,0.106398898,0,0,other,0,CETARTIODACTYLA,unsampled
140,Catopuma,0.442938372,0.472767947,0,0,other,0,CARNIVORA,unsampled
141,Cavia,0.204292363,0.099737749,0,0,other,0,RODENTIA,unsampled
142,Cebuella,0.214006119,0.221839892,0,0,other,0,PRIMATES,unsampled
143,Cebus,0.33828009,0.178881579,0,0,other,0,PRIMATES,unsampled
144,Cephalophus,0.200910125,0.095591815,0,0,other,0,CETARTIODACTYLA,unsampled
145,Cephalorhynchus,0.397635037,0.038081068,0,0,other,0,CETARTIODACTYLA,unsampled
146,Ceratotherium,0.41084828,0.683689528,0,1,other,2,PERISSODACTYLA,positive
147,Cercocebus,0.437621012,0.14377527,0,0,other,0,PRIMATES,unsampled
148,Cercopithecus,0.486837609,0.141975879,1,0,other,1,PRIMATES,positive
149,Cerdocyon,0.314150629,0.118779503,0,0,other,0,CARNIVORA,unsampled
150,Cerradomys,0.247926784,0.265068355,0,0,other,0,RODENTIA,unsampled
151,Cervus,0.359812341,0.181979459,0,0,other,0,CETARTIODACTYLA,unsampled
152,Chacodelphys,0.191695866,0.156185066,0,0,other,0,DIDELPHIMORPHIA,unsampled
153,Chaetocauda,0.167191037,0.162206652,0,0,other,0,RODENTIA,unsampled
154,Chaetodipus,0.289020838,0.186991735,0,0,other,0,RODENTIA,unsampled
155,Chaetomys,0.140656707,0.110174654,0,0,other,0,RODENTIA,unsampled
156,Cheirogaleus,0.173321623,0.105898573,0,0,other,0,PRIMATES,unsampled
157,Chelemys,0.133872677,0.097195995,0,0,other,0,RODENTIA,unsampled
158,Chibchanomys,0.164170011,0.073251112,0,0,other,0,RODENTIA,unsampled
159,Chilomys,0.332425885,0.137171314,0,0,other,0,RODENTIA,unsampled
160,Chimarrogale,0.310666787,0.234694393,0,0,other,0,EULIPOTYPHLA,unsampled
161,Chinchilla,0.15360872,0.092408583,0,0,other,0,RODENTIA,unsampled
162,Chinchillula,0.246480083,0.170891693,0,0,other,0,RODENTIA,unsampled
163,Chionomys,0.170158493,0.147059794,0,0,other,0,RODENTIA,unsampled
164,Chiromyscus,0.169044654,0.193477299,0,0,other,0,RODENTIA,unsampled
165,Chironectes,0.225207587,0.228489322,0,0,other,0,DIDELPHIMORPHIA,unsampled
166,Chiropodomys,0.28623943,0.226470031,0,0,other,0,RODENTIA,unsampled
167,Chiropotes,0.26890384,0.16083966,0,0,other,0,PRIMATES,unsampled
168,Chiruromys,0.194775437,0.159797516,0,0,other,0,RODENTIA,unsampled
169,Chlorocebus,0.53220903,0.154598558,1,0,other,1,PRIMATES,positive
170,Chodsigoa,0.486129481,0.248749329,0,0,other,0,EULIPOTYPHLA,unsampled
171,Choeropsis,0.25694406,0.14185248,0,0,other,0,CETARTIODACTYLA,unsampled
172,Choloepus,0.377736649,0.170477784,0,0,other,0,PILOSA,unsampled
173,Chrotogale,0.237560741,0.115982698,0,0,other,0,CARNIVORA,unsampled
174,Chrotomys,0.208622232,0.163233562,0,0,other,0,RODENTIA,unsampled
175,Chrysocyon,0.269295231,0.118809466,0,0,other,0,CARNIVORA,unsampled
176,Civettictis,0.282469665,0.141166501,0,0,other,0,CARNIVORA,unsampled
177,Clyomys,0.093734212,0.078907196,0,0,other,0,RODENTIA,unsampled
178,Coccymys,0.308983425,0.146256853,0,0,other,0,RODENTIA,unsampled
179,Coelodonta,0.286235011,0.387230073,0,0,other,0,PERISSODACTYLA,unsampled
180,Coendou,0.20693357,0.114111605,0,0,other,0,RODENTIA,unsampled
181,Colobus,0.343620445,0.124509438,0,0,other,0,PRIMATES,unsampled
182,Colomys,0.171836189,0.085345977,0,0,other,0,RODENTIA,unsampled
183,Condylura,0.129776137,0.085317203,0,0,other,0,EULIPOTYPHLA,unsampled
184,Conepatus,0.215140326,0.11834105,0,0,other,0,CARNIVORA,unsampled
185,Congosorex,0.204228178,0.101277904,0,0,other,0,EULIPOTYPHLA,unsampled
186,Conilurus,0.1901561,0.16008871,0,0,other,0,RODENTIA,unsampled
187,Connochaetes,0.248986827,0.130016228,0,0,other,0,CETARTIODACTYLA,unsampled
188,Coryphomys,0.124503582,0.092211578,0,0,other,0,RODENTIA,unsampled
189,Crateromys,0.168726723,0.114479103,0,0,other,0,RODENTIA,unsampled
190,Cratogeomys,0.220158002,0.102972992,0,0,other,0,RODENTIA,unsampled
191,Cremnomys,0.174935239,0.135260273,0,0,other,0,RODENTIA,unsampled
192,Cricetomys,0.283635887,0.172357965,1,0,other,2,RODENTIA,positive
193,Cricetulus,0.205971073,0.1939389,0,0,other,0,RODENTIA,unsampled
194,Cricetus,0.155829599,0.163321367,0,0,other,0,RODENTIA,unsampled
195,Crocidura,0.464839015,0.185357075,1,0,other,1,EULIPOTYPHLA,positive
196,Crocuta,0.522532044,0.398790559,0,0,other,0,CARNIVORA,unsampled
197,Crossarchus,0.224796682,0.138126404,0,0,other,0,CARNIVORA,unsampled
198,Crossomys,0.276946169,0.116164947,0,0,other,0,RODENTIA,unsampled
199,Crunomys,0.214172792,0.166408833,0,0,other,0,RODENTIA,unsampled
200,Cryptomys,0.09208443,0.051390135,0,0,other,0,RODENTIA,unsampled
201,Cryptonanus,0.291244842,0.276870699,0,0,other,0,DIDELPHIMORPHIA,unsampled
202,Cryptoprocta,0.305735104,0.205459731,0,0,other,0,CARNIVORA,unsampled
203,Cryptotis,0.250618046,0.134678503,0,0,other,0,EULIPOTYPHLA,unsampled
204,Ctenodactylus,0.187249168,0.167891075,0,0,other,0,RODENTIA,unsampled
205,Ctenomys,0.140667973,0.102875662,0,0,other,0,RODENTIA,unsampled
206,Cuniculus,0.233904041,0.157055031,0,0,other,0,RODENTIA,unsampled
207,Cuon,0.510093433,0.3452524,0,0,other,0,CARNIVORA,unsampled
208,Cuscomys,0.151864858,0.098116562,0,0,other,0,RODENTIA,unsampled
209,Cyclopes,0.235732746,0.163711174,0,0,other,0,PILOSA,unsampled
210,Cynictis,0.233130859,0.063808309,0,0,other,0,CARNIVORA,unsampled
211,Cynogale,0.291558681,0.213167761,0,0,other,0,CARNIVORA,unsampled
212,Cynomys,0.418224507,0.134837703,1,0,other,4,RODENTIA,positive
213,Cystophora,0.183200409,0.033849636,0,0,other,0,CARNIVORA,unsampled
214,Dacnomys,0.208805352,0.14105108,0,0,other,0,RODENTIA,unsampled
215,Dactylomys,0.196220465,0.131408621,0,0,other,0,RODENTIA,unsampled
216,Dama,0.154680711,0.068773302,0,0,other,0,CETARTIODACTYLA,unsampled
217,Damaliscus,0.208413613,0.090409277,0,0,other,0,CETARTIODACTYLA,unsampled
218,Dasymys,0.150464338,0.080569482,0,0,other,0,RODENTIA,unsampled
219,Dasyprocta,0.159702468,0.111455623,0,0,other,0,RODENTIA,unsampled
220,Daubentonia,0.412490757,0.344891307,0,0,other,0,PRIMATES,unsampled
221,Delanymys,0.255354978,0.147466692,0,0,other,0,RODENTIA,unsampled
222,Delomys,0.200016027,0.216585728,0,0,other,0,RODENTIA,unsampled
223,Delphinapterus,0.294635988,0.048868407,0,0,other,0,CETARTIODACTYLA,unsampled
224,Delphinus,0.456968299,0.027111474,1,0,other,6,CETARTIODACTYLA,positive
225,Deltamys,0.213942525,0.138275205,0,0,other,0,RODENTIA,unsampled
226,Dendromus,0.397487808,0.289550506,0,0,other,0,RODENTIA,unsampled
227,Dendroprionomys,0.110086585,0.073381926,0,0,other,0,RODENTIA,unsampled
228,Deomys,0.154732578,0.108660887,0,0,other,0,RODENTIA,unsampled
229,Dephomys,0.11757041,0.087497345,0,0,other,0,RODENTIA,unsampled
230,Desmana,0.152664333,0.193473488,0,0,other,0,EULIPOTYPHLA,unsampled
231,Desmodilliscus,0.195570834,0.114718451,0,0,other,0,RODENTIA,unsampled
232,Desmodillus,0.132988684,0.112087434,0,0,other,0,RODENTIA,unsampled
233,Desmomys,0.179021532,0.142039497,0,0,other,0,RODENTIA,unsampled
234,Dicerorhinus,0.438881113,0.482823373,0,0,other,0,PERISSODACTYLA,unsampled
235,Diceros,0.407363251,0.677145242,0,1,other,2,PERISSODACTYLA,positive
236,Dicrostonyx,0.263215241,0.198377215,0,0,other,0,RODENTIA,unsampled
237,Didelphis,0.262560934,0.323441991,0,1,other,1,DIDELPHIMORPHIA,positive
238,Dinaromys,0.161075465,0.156707375,0,0,other,0,RODENTIA,unsampled
239,Dinomys,0.220387822,0.114787605,0,0,other,0,RODENTIA,unsampled
240,Diomys,0.23822553,0.156472537,0,0,other,0,RODENTIA,unsampled
241,Diplogale,0.304926852,0.188909794,0,0,other,0,CARNIVORA,unsampled
242,Diplomesodon,0.22231122,0.123464879,0,0,other,0,EULIPOTYPHLA,unsampled
243,Diplomys,0.180590247,0.140455432,0,0,other,0,RODENTIA,unsampled
244,Diplothrix,0.160747039,0.154059435,0,0,other,0,RODENTIA,unsampled
245,Dipodomys,0.238744063,0.23182223,0,0,other,0,RODENTIA,unsampled
246,Dipus,0.187703143,0.231644692,0,0,other,0,RODENTIA,unsampled
247,Dolichotis,0.143272114,0.098432093,0,0,other,0,RODENTIA,unsampled
248,Dologale,0.18184866,0.077793662,0,0,other,0,CARNIVORA,unsampled
249,Dorcatragus,0.216612221,0.107028189,0,0,other,0,CETARTIODACTYLA,unsampled
250,Dremomys,0.329313176,0.270197823,0,0,other,0,RODENTIA,unsampled
251,Drymoreomys,0.183548925,0.067424427,0,0,other,0,RODENTIA,unsampled
252,Dryomys,0.337555528,0.247766351,0,0,other,0,RODENTIA,unsampled
253,Dusicyon,0.315508938,0.207610678,0,0,other,0,CARNIVORA,unsampled
254,Dymecodon,0.149923736,0.077261513,0,0,other,0,EULIPOTYPHLA,unsampled
255,Echimys,0.141172196,0.107340778,0,0,other,0,RODENTIA,unsampled
256,Echinosorex,0.196134083,0.196798418,0,0,other,0,EULIPOTYPHLA,unsampled
257,Echiothrix,0.194392397,0.14195556,0,0,other,0,RODENTIA,unsampled
258,Eira,0.232138222,0.160162769,0,0,other,0,CARNIVORA,unsampled
259,Elaphodus,0.246591314,0.142451433,0,0,other,0,CETARTIODACTYLA,unsampled
260,Elaphurus,0.181957948,0.12220155,0,0,other,0,CETARTIODACTYLA,unsampled
261,Elephas,0.68429882,0.708545452,1,1,other,6,PROBOSCIDEA,positive
262,Eligmodontia,0.450347619,0.268376848,0,0,other,0,RODENTIA,unsampled
263,Eliomys,0.179943782,0.212215726,0,0,other,0,RODENTIA,unsampled
264,Eliurus,0.208974621,0.153608081,0,0,other,0,RODENTIA,unsampled
265,Ellobius,0.172775043,0.143892998,0,0,other,0,RODENTIA,unsampled
266,Enhydra,0.256416099,0.140672638,0,0,other,0,CARNIVORA,unsampled
267,Eoglaucomys,0.239333704,0.187317862,0,0,other,0,RODENTIA,unsampled
268,Eolagurus,0.187147693,0.193542848,0,0,other,0,RODENTIA,unsampled
269,Eospalax,0.166959799,0.116361654,0,0,other,0,RODENTIA,unsampled
270,Eothenomys,0.321709849,0.192895415,0,0,other,0,RODENTIA,unsampled
271,Eozapus,0.175336715,0.107739073,0,0,other,0,RODENTIA,unsampled
272,Episoriculus,0.43806704,0.216158151,0,0,other,0,EULIPOTYPHLA,unsampled
273,Epixerus,0.125900856,0.092097505,0,0,other,0,RODENTIA,unsampled
274,Equus,0.550542403,0.421752549,1,1,other,22,PERISSODACTYLA,positive
275,Eremodipus,0.129911756,0.11511471,0,0,other,0,RODENTIA,unsampled
276,Eremoryzomys,0.284680719,0.249597914,0,0,other,0,RODENTIA,unsampled
277,Erethizon,0.163585004,0.097225574,0,0,other,0,RODENTIA,unsampled
278,Erignathus,0.167875203,0.037198382,0,0,other,0,CARNIVORA,unsampled
279,Erinaceus,0.199437846,0.184160103,0,0,other,0,EULIPOTYPHLA,unsampled
280,Eropeplus,0.24475158,0.186326334,0,0,other,0,RODENTIA,unsampled
281,Erythrocebus,0.326056351,0.146053963,0,0,other,0,PRIMATES,unsampled
282,Eschrichtius,0.331105855,0.036819971,0,0,other,0,CETARTIODACTYLA,unsampled
283,Eubalaena,0.459534175,0.034026304,1,0,other,1,CETARTIODACTYLA,positive
284,Euchoreutes,0.151728089,0.101870249,0,0,other,0,RODENTIA,unsampled
285,Eudorcas,0.217004718,0.119190182,0,0,other,0,CETARTIODACTYLA,unsampled
286,Eulemur,0.279476188,0.118723294,0,0,other,0,PRIMATES,unsampled
287,Eumetopias,0.355399242,0.034513683,1,0,other,1,CARNIVORA,positive
288,Euneomys,0.19573675,0.161861505,0,0,other,0,RODENTIA,unsampled
289,Euoticus,0.135571328,0.144456501,0,0,other,0,PRIMATES,unsampled
290,Eupetaurus,0.191231321,0.102567471,0,0,other,0,RODENTIA,unsampled
291,Eupleres,0.183366373,0.107312594,0,0,other,0,CARNIVORA,unsampled
292,Euroscaptor,0.247290172,0.138069643,0,0,other,0,EULIPOTYPHLA,unsampled
293,Euryoryzomys,0.279944713,0.259787611,0,0,other,0,RODENTIA,unsampled
294,Euryzygomatomys,0.129567408,0.091881355,0,0,other,0,RODENTIA,unsampled
295,Exilisciurus,0.320385509,0.188344107,0,0,other,0,RODENTIA,unsampled
296,Felis,0.404002793,0.465970746,1,1,other,130,CARNIVORA,positive
297,Felovia,0.112496699,0.066520358,0,0,other,0,RODENTIA,unsampled
298,Feresa,0.485507382,0.031260429,0,0,other,0,CETARTIODACTYLA,unsampled
299,Feroculus,0.230183479,0.131032174,0,0,other,0,EULIPOTYPHLA,unsampled
300,Fossa,0.218336989,0.114521933,0,0,other,0,CARNIVORA,unsampled
301,Fukomys,0.126723318,0.080372332,0,0,other,0,RODENTIA,unsampled
302,Funambulus,0.286734039,0.310417738,0,0,other,0,RODENTIA,unsampled
303,Funisciurus,0.183688967,0.128257438,1,1,other,6,RODENTIA,positive
304,Galago,0.209270354,0.167736188,0,0,other,0,PRIMATES,unsampled
305,Galagoides,0.133507354,0.087677389,0,0,other,0,PRIMATES,unsampled
306,Galea,0.306399597,0.201272541,0,0,other,0,RODENTIA,unsampled
307,Galemys,0.184518889,0.160444962,0,0,other,0,EULIPOTYPHLA,unsampled
308,Galenomys,0.175048616,0.111450855,0,0,other,0,RODENTIA,unsampled
309,Galictis,0.259703125,0.141743771,0,0,other,0,CARNIVORA,unsampled
310,Galidia,0.314215664,0.17131587,0,0,other,0,CARNIVORA,unsampled
311,Galidictis,0.280509753,0.128386365,0,0,other,0,CARNIVORA,unsampled
312,Gazella,0.230418143,0.110655821,0,0,other,0,CETARTIODACTYLA,unsampled
313,Genetta,0.278166355,0.121065616,0,0,other,0,CARNIVORA,unsampled
314,Geocapromys,0.108402739,0.069342675,0,0,other,0,RODENTIA,unsampled
315,Geomys,0.138285669,0.132506205,0,0,other,0,RODENTIA,unsampled
316,Georychus,0.107327914,0.08548314,0,0,other,0,RODENTIA,unsampled
317,Geoxus,0.178427783,0.099218595,0,0,other,0,RODENTIA,unsampled
318,Gerbilliscus,0.180801891,0.262068665,0,1,other,3,RODENTIA,positive
319,Gerbillurus,0.154801478,0.129951294,0,0,other,0,RODENTIA,unsampled
320,Gerbillus,0.223107287,0.301755482,0,0,other,0,RODENTIA,unsampled
321,Giraffa,0.29675094,0.440374107,0,0,other,0,CETARTIODACTYLA,unsampled
322,Glaucomys,0.148407522,0.140041585,0,0,other,0,RODENTIA,unsampled
323,Glironia,0.247712138,0.276830029,0,0,other,0,DIDELPHIMORPHIA,unsampled
324,Glirulus,0.316026059,0.302029602,0,0,other,0,RODENTIA,unsampled
325,Glis,0.210155212,0.210237526,0,0,other,0,RODENTIA,unsampled
326,Globicephala,0.435031708,0.066243137,0,0,other,0,CETARTIODACTYLA,unsampled
327,Glyphotes,0.273757526,0.148758003,0,0,other,0,RODENTIA,unsampled
328,Golunda,0.187569207,0.192952769,0,0,other,0,RODENTIA,unsampled
329,Gorilla,0.481603153,0.206694584,0,0,other,0,PRIMATES,unsampled
330,Gracilinanus,0.340791068,0.290872384,0,0,other,0,DIDELPHIMORPHIA,unsampled
331,Grammomys,0.276043993,0.21930609,0,0,other,0,RODENTIA,unsampled
332,Grampus,0.451657945,0.028197322,1,0,other,1,CETARTIODACTYLA,positive
333,Graomys,0.266369371,0.317362562,0,0,other,0,RODENTIA,unsampled
334,Graphiurus,0.388173986,0.295378431,0,0,other,0,RODENTIA,unsampled
